XQJ,FW,TKZWHDW,BH,SZDL,ZDMC,JDB,XZQ,ZPWHDW
龙岗交通运输局,东侧,深圳市东部广告有限公司,"600979227A59FAD9E050007F010083AC",杉坑内环路,顺平路口北,龙岗,龙岗,深圳市海波广告有限公司
龙岗交通运输局,南侧,深圳市东部广告有限公司,"600979227A5AFAD9E050007F010083AC",人民南路,坪东村,坪地,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市东部广告有限公司,"600979227A5BFAD9E050007F010083AC",人民南路,坪东村,坪地,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市海纳百川广告有限公司,"600979227A5CFAD9E050007F010083AC",横岗塘坑路,六约麻地新村,横岗,龙岗,深圳市海波广告有限公司
龙岗交通运输局,东侧,深圳市海纳百川广告有限公司,"600979227A5DFAD9E050007F010083AC",秀峰路,红晟市场,布吉,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市海纳百川广告有限公司,"600979227A5EFAD9E050007F010083AC",秀峰路,红晟市场,布吉,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市东部广告有限公司,"600979227A5FFAD9E050007F010083AC",清林路,益田大运城邦,龙城,龙岗,深圳市海波广告有限公司
龙岗交通运输局,东侧,深圳市东部广告有限公司,"600979227A60FAD9E050007F010083AC",宝龙五路,宝龙五路路口,龙岗,龙岗,深圳市海波广告有限公司
龙岗交通运输局,西侧,深圳市东部广告有限公司,"600979227A61FAD9E050007F010083AC",仙田路,仙田路南,龙岗,龙岗,深圳市海波广告有限公司
龙岗交通运输局,东侧,深圳市东部广告有限公司,"600979227A62FAD9E050007F010083AC",仙田路,仙田路南,龙岗,龙岗,深圳市海波广告有限公司
龙岗交通运输局,东侧,深圳市东部广告有限公司,"600979227A63FAD9E050007F010083AC",丹平快速辅路,百合花卉小镇,平湖,龙岗,深圳市海波广告有限公司
龙岗交通运输局,西侧,深圳市东部广告有限公司,"600979227A64FAD9E050007F010083AC",丹平快速辅路,百合花卉小镇,平湖,龙岗,深圳市海波广告有限公司
龙岗交通运输局,未知,深圳市海波广告公司（站点）,"600979227A65FAD9E050007F010083AC",雅宝路,星河雅宝总站,坂田,龙岗,深圳市海波广告有限公司
龙岗交通运输局,西侧,深圳市蓝奥广告有限公司,"600979227A66FAD9E050007F010083AC",宝吉路,宝吉路口,坂田,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市蓝奥广告有限公司,"600979227A67FAD9E050007F010083AC",三号路,深圳科学高中西,坂田,龙岗,深圳市海波广告有限公司
龙岗交通运输局,南侧,深圳市蓝奥广告有限公司,"600979227A68FAD9E050007F010083AC",三号路,深圳科学高中西,坂田,龙岗,深圳市海波广告有限公司
龙岗交通运输局,西侧,深圳市蓝奥广告有限公司,"600979227A69FAD9E050007F010083AC",二号路,五和小学,坂田,龙岗,深圳市海波广告有限公司
龙岗交通运输局,南侧,深圳市海纳百川广告有限公司,"600979227A6AFAD9E050007F010083AC",红棉路,瑞泽佳园,横岗,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市海纳百川广告有限公司,"600979227A6BFAD9E050007F010083AC",红棉路,瑞泽佳园,横岗,龙岗,深圳市海波广告有限公司
龙岗交通运输局,东侧,深圳市东部广告有限公司,"600979227A6CFAD9E050007F010083AC",-,深圳技师学院,龙城,龙岗,深圳市海波广告有限公司
龙岗交通运输局,西侧,深圳市东部广告有限公司,"600979227A6DFAD9E050007F010083AC",-,深圳技师学院,龙城,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市东部广告有限公司,"600979227A6EFAD9E050007F010083AC",清水路,龙岗区福利院,龙城,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市东部广告有限公司,"600979227A6FFAD9E050007F010083AC",环城南路,坂田国际中心,坂田,龙岗,深圳市海波广告有限公司
龙岗交通运输局,东侧,深圳市东部广告有限公司,"600979227A70FAD9E050007F010083AC",环城南路,坂田国际中心,坂田,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市东部广告有限公司,"600979227A71FAD9E050007F010083AC",环城南路,太阳雨家园,坂田,龙岗,深圳市海波广告有限公司
龙岗交通运输局,东侧,深圳市东部广告有限公司,"600979227A72FAD9E050007F010083AC",中环大道,金穗花园,平湖,龙岗,深圳市海波广告有限公司
龙岗交通运输局,北侧,深圳市东部广告有限公司,"600979227A73FAD9E050007F010083AC",振兴路,坪地新发工业区,坪地,龙岗,深圳市海波广告有限公司
龙岗交通运输局,南侧,深圳市东部广告有限公司,"600979227A74FAD9E050007F010083AC",振兴路,坪地新发工业区,坪地,龙岗,深圳市海波广告有限公司
